Date,Open,High,Low,Close
08/29/2024,2538.45,2596.82,2512.74,2540.09
08/28/2024,2580.28,2584.84,2407.71,2540.23
08/27/2024,2688.56,2699.18,2565.49,2583
08/26/2024,2772.21,2792.86,2673.82,2690.01
08/25/2024,2792.72,2793.35,2736.23,2772.22
08/24/2024,2755.43,2820.53,2742.86,2794.7
08/23/2024,2624.38,2762.89,2616.35,2754.15
08/22/2024,2631.2,2645.27,2587.74,2622.48
08/21/2024,2589.29,2662.43,2541.07,2631.9
08/20/2024,2617.47,2695.07,2557.06,2589.33
08/19/2024,2666.85,2666.85,2568.01,2615.95
08/18/2024,2615,2682.36,2596.75,2666.85
08/17/2024,2610.67,2626.09,2588.26,2615
08/16/2024,2546.56,2628.07,2535.4,2612.28
08/15/2024,2676.64,2678.89,2519.2,2530.33
08/14/2024,2699.95,2776.58,2638.24,2676.68
08/13/2024,2681.5,2746.62,2613.58,2699.95
08/12/2024,2555.12,2721.58,2515.09,2681.04
08/11/2024,2605.98,2715.01,2544.36,2556.24
08/10/2024,2594.86,2642.64,2566.95,2605.65
08/09/2024,2570.67,2720.98,2556.97,2595.22
08/08/2024,2349.15,2604.99,2317.07,2571.27
08/07/2024,2488.72,2550.16,2311.07,2347.89
08/06/2024,2434.46,2550.33,2413.28,2488.72
08/05/2024,2751.52,2751.53,2133.03,2435.96
08/04/2024,2891.08,2929.67,2648.49,2751.44
08/03/2024,3014.8,3015.61,2881.53,2890.86
08/02/2024,3167.62,3214.79,2988.21,3015.95
08/01/2024,3220.19,3243.89,3079.55,3165.51
07/31/2024,3278.41,3347.76,3216.62,3220.64
07/30/2024,3321.2,3362.85,3235.67,3280.67
07/29/2024,3262.05,3395,3252.5,3326.51
07/28/2024,3241.36,3293.23,3201.86,3262.05
07/27/2024,3254.36,3327.56,3196.42,3242.85
07/26/2024,3153.74,3285,3150.53,3254.15
07/25/2024,3374.43,3374.44,3089.67,3153.75
07/24/2024,3483.89,3499.28,3361,3374.44
07/23/2024,3487.99,3540.34,3396,3484.9
07/22/2024,3499.01,3562.89,3439.58,3487.98
07/21/2024,3526.01,3528.82,3412.19,3499.01
07/20/2024,3506.97,3538.65,3482.33,3526.01
07/19/2024,3414.02,3540.64,3382.83,3506.81
